"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"EPIC: Gestión de Cards","Feature: Campo Personalizado","HU: Obtener campo personalizado","0","0","8","0","0"
"EPIC: Gestión de Cards","Feature: Date","HU: Actualizar fechas","0","0","4","1","0"
"EPIC: Gestión de Cards","Feature: Label","HU: Obtener Label","0","0","5","0","0"
"EPIC: Gestión de Cards","Feature: Campo Personalizado","HU: Actualizar campo personalizado","0","0","9","0","0"
"EPIC: Gestión de Cards","Feature: Campo Personalizado","HU: Eliminar campo personalizado","0","0","4","0","0"
"","","","0","0","28","0","0"
"EPIC: Gestión de Cards","Feature: Checklist","HU: Actualizar checklist","0","0","7","0","0"
"EPIC: Gestión de Cards","Feature: Checklist","HU: Crear checklist","0","0","6","0","0"
"EPIC: Gestión de Cards","Feature: Label","HU: Eliminar Label","0","0","5","0","0"
"EPIC: Gestión de Cards","Feature: Label","HU: Actualizar Label","0","0","6","0","0"
"EPIC: Gestión de Cards","Feature: Checklist","HU: Agregar ítems a checklist","0","0","6","0","0"
"EPIC: Gestión de Cards","Feature: Upload","HU: Crear adjuntos","0","0","6","0","0"
"EPIC: Gestión de Cards","Feature: Label","HU: Crear Label","0","0","7","0","0"
"EPIC: Gestión de Cards","Feature: Upload","HU: Eliminar adjuntos","0","0","4","0","0"
"EPIC: Gestión de Cards","Feature: Campo Personalizado","HU: Crear campo personalizado","0","0","5","0","0"
"EPIC: Gestión de Cards","Feature: Upload","HU: Obtener adjuntos","0","0","3","0","0"
"EPIC: Gestión de Cards","Feature: Campo Personalizado","HU: Crear campo personalizado y agregar opción","0","0","10","0","0"
